"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre","GenderMale","GenderFeMale"
"156",26,1,"Land of the Lost",1991,1992,23,7.2,707,"adventure",4,1
"157",24,1,"Lightning Force",1991,1992,30,7.1,24,"action",5,0
"158",24,1,"Liquid Television",1991,1994,30,8,601,"animation",3,2
"159",7,0,"The Man in the Family",1991,0,30,6.8,5,"comedy",2,2
"160",10,0,"Man of the People",1991,0,30,6.5,22,"comedy",2,2
"161",40,1,"Medics",1990,1995,50,7,23,"drama",3,2
"162",42,1,"Men Behaving Badly",1992,2014,45,7.7,5987,"comedy",3,2
"163",20,1,"The Miraculous Mellops",1991,1992,25,8.4,51,"sci-fi",3,1
"164",7,0,"My Life and Times",1991,0,30,7.9,35,"drama",2,3
"165",46,1,"The New WKRP in Cincinnati",1991,1993,30,5,173,"comedy",4,0
"166",45,1,"Noel's House Party",1991,1999,50,6.3,190,"comedy",1,1
"167",34,1,"Northwood",1991,1994,24,7.8,48,"drama",2,2
"168",68,1,"Nurses",1991,1994,30,6.8,246,"comedy",1,3
"169",7,0,"Old Boy Network",1992,0,25,6.7,7,"comedy",3,2
"170",13,0,"P.S.I. Luv U",1991,0,60,7.7,144,"drama",3,1
"171",13,0,"Pacific Station",1991,0,30,7.6,11,"comedy",4,0
"172",8,0,"Palace Guard",1991,0,60,6.5,25,"action",3,1
"173",12,1,"Paul Merton: The Series",1991,1993,25,8.1,86,"comedy",5,0
"174",21,1,"The Pirates of Dark Water",1991,1992,30,8.4,1885,"action",3,1
"175",65,1,"The Legend of Prince Valiant",1991,1994,22,7.5,494,"adventure",3,1
"176",8,0,"Princesses",1991,0,30,7.1,15,"comedy",0,4
"177",13,1,"Pros and Cons",1991,1992,60,6.8,24,"action",3,2
"178",44,1,"Reasonable Doubts",1991,1993,60,7.8,310,"crime",3,1
"179",52,1,"The Ren & Stimpy Show",1991,1996,30,7.5,18266,"animation",4,1
"180",72,1,"Roc",1991,1994,30,7.4,908,"comedy",3,1
"181",15,1,"The Royal Family",1991,1992,30,7,163,"comedy",1,3
"182",26,1,"Salute Your Shorts",1991,1993,30,8.3,4547,"comedy",4,0
"183",23,0,"Scene of the Crime",1991,0,60,7.5,30,"drama",1,3
"184",51,1,"Schmidteinander",1990,1994,60,8.2,133,"comedy",0,1
"185",49,1,"Second Thoughts",1991,1994,30,7.3,64,"comedy",2,3
"186",22,1,"Sibs",1991,1992,30,6.7,29,"comedy",2,2
"187",7,0,"Sons and Daughters",1991,0,60,7.4,20,"comedy",2,2
"188",44,1,"Street Justice",1991,1993,44,7.4,136,"action",3,2
"189",24,1,"Sunes jul",1991,1991,25,8,1349,"comedy",4,1
"190",65,0,"Swans Crossing",1992,0,30,7.2,260,"drama",1,4
"191",75,1,"Tarzán",1991,1995,30,6.2,301,"adventure",4,1
"192",13,0,"Teech",1991,0,30,6.1,13,"comedy",3,1
"193",7,1,"Top of the Heap",1991,1991,30,5.1,129,"comedy",2,2
"194",20,1,"The Torkelsons",1991,1992,30,8,797,"comedy",1,3
"195",23,1,"Trainer",1991,1992,50,7.4,12,"drama",4,1
"196",66,1,"Sweating Bullets",1991,1993,60,8,1347,"action",3,1
"197",9,0,"Under Cover",1991,0,60,8.3,23,"drama",4,1
"198",16,1,"Urban Angel",1991,1993,60,8,39,"adventure",4,1
"199",13,0,"Walter & Emily",1991,0,30,6.8,12,"comedy",3,1
"200",15,1,"Welcome Freshmen",1991,1993,30,7.4,184,"comedy",4,1
"201",13,0,"Wish Kid",1991,0,30,6.6,98,"animation",3,2
"202",19,1,"Yo Yogi!",1991,1992,30,5.6,97,"animation",4,1
"203",52,0,"American Justice",1992,0,60,8.3,518,"crime",1,0
"204",8,0,"Angel Street",1992,0,60,5.7,15,"crime",3,2
"205",91,1,"Are You Afraid of the Dark?",1990,2000,30,8.3,11160,"drama",2,2
"206",85,1,"Batman: The Animated Series",1992,1995,23,8.9,67873,"action",4,0
"207",26,0,"Berlin Break",1993,0,45,6.5,15,"action",3,2
"208",35,1,"Between the Lines",1992,1994,50,8.2,354,"crime",3,1
"209",7,0,"The Big One",1992,0,30,8.1,16,"comedy",3,2
"210",8,0,"Bill & Ted's Excellent Adventures",1992,0,30,6.2,125,"comedy",4,0
"211",13,0,"Billy",1992,0,30,6.1,43,"comedy",2,3
"212",23,0,"Bingles",1992,0,30,5.4,8,"comedy",3,2
"213",13,1,"Bligh",1992,1992,25,6,22,"comedy",2,2
"214",33,1,"Bob",1992,1993,30,7.5,169,"comedy",1,3
"215",81,1,"Bobby's World",1990,1998,30,7.4,3371,"animation",2,2
"216",16,1,"Bodies of Evidence",1992,1993,60,6.1,87,"crime",3,1
"217",18,1,"Bottom",1991,1995,30,8.2,10296,"comedy",5,0
"218",78,1,"California Dreams",1992,1997,30,7.1,1256,"comedy",3,1
"219",19,1,"Camp Wilder",1992,1993,30,7,73,"comedy",2,2
"220",13,1,"Capitol Critters",1992,1995,30,6.9,136,"animation",3,1
"221",11,1,"Catwalk",1992,1994,50,6.9,159,"drama",2,2
"222",21,1,"Cluedo",1992,1993,50,8.2,29,"drama",3,2
"223",13,0,"Covington Cross",1992,0,60,7.8,228,"adventure",3,1
"224",10,1,"Crossroads",1992,1993,60,6.3,27,"drama",4,1
"225",14,1,"DAAS Kapital",1991,1992,30,8.1,65,"comedy",5,0
"226",34,0,"Dangerous Curves",1992,0,60,6.4,57,"action",1,3
"227",17,0,"Delta",1992,0,30,7.5,25,"comedy",1,3
"228",29,1,"Down the Shore",1992,1993,30,7.4,45,"comedy",2,2
"229",19,1,"The Edge",1992,1993,30,7.7,204,"comedy",2,2
"230",76,1,"Eek! the Cat",1992,1997,30,7.3,2386,"adventure",2,2
"231",22,1,"Flying Blind",1992,1993,30,8.1,261,"comedy",2,2
"232",70,1,"Forever Knight",1992,1996,60,7.8,2048,"crime",3,1
"233",15,1,"Get Back",1992,1993,30,7.1,40,"comedy",2,2
"234",17,1,"Going to Extremes",1992,1993,60,8.4,64,"drama",2,2
"235",24,1,"The Golden Palace",1992,1993,30,7.2,782,"comedy",1,3
"236",78,1,"Goof Troop",1992,1993,30,6.9,6365,"animation",3,2
"237",12,1,"Grace & Favour",1992,1993,26,7.9,965,"comedy",3,2
"238",13,0,"Great Scott!",1992,0,30,7.5,36,"comedy",2,2
"239",13,1,"The Hat Squad",1992,1993,60,7.4,108,"crime",4,0
"240",54,1,"Hearts Afire",1992,1995,30,7.1,261,"comedy",3,1
"241",9,0,"Hearts Are Wild",1992,0,60,7.7,7,"drama",3,2
"242",13,0,"The Heights",1992,0,60,7.1,164,"drama",3,1
"243",13,1,"Here and Now",1992,1993,30,7.6,26,"comedy",3,1
"244",8,0,"Human Target",1992,0,60,7,109,"action",3,1
"245",18,0,"Jack's Place",1992,0,60,6.8,32,"drama",3,2
"246",18,0,"The Jackie Thomas Show",1992,0,30,4.9,121,"comedy",3,1
"247",7,0,"Julie",1992,0,30,7.8,41,"comedy",2,2
"248",26,0,"Klasses julkalender",1992,0,30,6.7,50,"family",0,0
"249",87,1,"Kung Fu: The Legend Continues",1993,1997,60,6.7,1837,"action",5,0
"250",89,1,"The Larry Sanders Show",1992,1998,30,8.4,6619,"comedy",4,0
"251",13,0,"Late for School",1992,0,30,8,7,"comedy",3,2
"252",40,1,"The Late Show",1992,1993,60,8.3,389,"comedy",4,1
"253",10,0,"Laurie Hill",1992,0,30,6.6,10,"comedy",2,2
"254",78,1,"Lift Off",1992,1995,66,7.7,82,"comedy",3,2
"255",13,0,"Likely Suspects",1992,0,30,7.9,11,"drama",3,2
"256",31,1,"The Little Mermaid",1992,1994,25,6.8,2778,"adventure",4,1
"257",7,1,"Lotta på Bråkmakargatan",1995,1996,28,6.2,177,"family",2,3
"258",67,1,"Love & War",1992,1995,30,7,123,"comedy",3,1
"259",9,0,"Mann & Machine",1992,0,60,8.5,253,"action",1,3
"260",13,1,"Mulberry",1992,1993,30,8.3,316,"comedy",3,2
"261",26,0,"The New Adventures of Black Beauty",1992,0,24,7.5,30,"adventure",3,2
"262",39,1,"The Odyssey",1992,1994,30,8.4,589,"adventure",2,2
"263",7,0,"On the Air",1992,0,30,7.4,778,"comedy",3,1
"264",19,0,"Out All Night",1992,0,30,8,114,"comedy",2,2
"265",14,0,"Peter und Paul",1992,0,50,7,9,"comedy",4,1
"266",26,1,"Phoenix",1992,1993,50,8.7,113,"crime",3,1
"267",21,1,"The Powers That Be",1992,1993,30,8.2,292,"comedy",2,2
"268",13,0,"Rachel Gunn, R.N.",1992,0,30,7.1,16,"comedy",1,3
"269",20,1,"Raven",1992,1993,46,7.4,282,"action",4,0
"270",65,0,"The Real West",1992,0,50,8.1,72,"documentary",0,0
"271",66,1,"Red Shoe Diaries",1992,1999,30,5.7,729,"drama",3,2
"272",13,0,"Rhythm & Blues",1992,0,30,7.5,15,"comedy",3,1
"273",26,0,"Room for Two",1992,0,30,7.7,27,"comedy",2,3
"274",7,0,"The Round Table",1992,0,60,6.1,28,"drama",3,2
"275",52,1,"Roundhouse",1992,1995,30,7.2,364,"comedy",0,0
